Date,Close,Returns
2020-07-10 00:00:00+00:00,0.0035313,-0.026096653
2020-07-11 00:00:00+00:00,0.0038041,0.03231731
2020-07-12 00:00:00+00:00,0.0036358,-0.01965194
2020-07-13 00:00:00+00:00,0.0031677,-0.059855941
2020-07-14 00:00:00+00:00,0.0032888,0.016293419
2020-07-15 00:00:00+00:00,0.0030868,-0.027528972
2020-07-16 00:00:00+00:00,0.0029808,-0.015175654
2020-07-17 00:00:00+00:00,0.0030528,0.010365515
2020-07-18 00:00:00+00:00,0.003449,0.052994841
2020-07-19 00:00:00+00:00,0.0033811,-0.008635179
2020-07-20 00:00:00+00:00,0.0032201,-0.021188657
2020-07-21 00:00:00+00:00,0.0032979,0.010368124
2020-07-22 00:00:00+00:00,0.0032868,-0.001464204
2020-07-23 00:00:00+00:00,0.0032997,0.001701178
2020-07-24 00:00:00+00:00,0.0032113,-0.011793577
2020-07-25 00:00:00+00:00,0.0032475,0.00486828
2020-07-26 00:00:00+00:00,0.0032323,-0.002037498
2020-07-27 00:00:00+00:00,0.0031694,-0.008534609
2020-07-28 00:00:00+00:00,0.003188,0.002541259
2020-07-29 00:00:00+00:00,0.0031663,-0.002966252
2020-07-30 00:00:00+00:00,0.0032281,0.008394919
2020-07-31 00:00:00+00:00,0.003224,-0.000551947
2020-08-01 00:00:00+00:00,0.0037144,0.061493638
2020-08-02 00:00:00+00:00,0.0033312,-0.047287963
2020-08-03 00:00:00+00:00,0.0033818,0.006547212
2020-08-04 00:00:00+00:00,0.0035458,0.020566316
2020-08-05 00:00:00+00:00,0.0035028,-0.005298895
2020-08-06 00:00:00+00:00,0.00356,0.007034657
2020-08-07 00:00:00+00:00,0.003496,-0.007878574
2020-08-08 00:00:00+00:00,0.0035134,0.002156173
2020-08-09 00:00:00+00:00,0.0034664,-0.005848921
2020-08-10 00:00:00+00:00,0.0034952,0.003593356
2020-08-11 00:00:00+00:00,0.0033906,-0.013195474
2020-08-12 00:00:00+00:00,0.0034606,0.008874846
2020-08-13 00:00:00+00:00,0.0034877,0.003387718
2020-08-14 00:00:00+00:00,0.0035731,0.01050605
2020-08-15 00:00:00+00:00,0.0035328,-0.004926119
2020-08-16 00:00:00+00:00,0.0035302,-0.000319741
2020-08-17 00:00:00+00:00,0.0035877,0.00701681
2020-08-18 00:00:00+00:00,0.003476,-0.013736353
2020-08-19 00:00:00+00:00,0.0034196,-0.007104459
2020-08-20 00:00:00+00:00,0.0034399,0.002570509
