Unix,Date,Symbol,Open,High,Low,Close,Volume,Volume Base Asset,tradecount
1580000000000.0,2020-01-01 01:00:00+00:00,BCHUSDT,204.51,207.29,204.47,206.21,15007.668,3093363.566,2363
1580000000000.0,2020-01-01 02:00:00+00:00,BCHUSDT,206.25,207.88,206.2,207.34,7648.775,1583460.281,1420
1580000000000.0,2020-01-01 03:00:00+00:00,BCHUSDT,207.34,207.34,205.42,205.67,7674.164,1583907.283,1428
1580000000000.0,2020-01-01 04:00:00+00:00,BCHUSDT,205.67,207.09,205.26,206.18,9307.474,1918807.907,1430
1580000000000.0,2020-01-01 05:00:00+00:00,BCHUSDT,206.18,206.88,206.07,206.55,7344.268,1516116.902,1122
1580000000000.0,2020-01-01 06:00:00+00:00,BCHUSDT,206.55,207.4,206.49,207.0,6724.572,1391781.661,1137
1580000000000.0,2020-01-01 07:00:00+00:00,BCHUSDT,207.0,207.35,206.1,206.44,6391.127,1320490.276,1169
1580000000000.0,2020-01-01 08:00:00+00:00,BCHUSDT,206.44,206.47,204.8,206.3,13414.449,2758824.577,1941
1580000000000.0,2020-01-01 09:00:00+00:00,BCHUSDT,206.29,206.77,205.01,205.23,6571.597,1353175.838,1127
1580000000000.0,2020-01-01 10:00:00+00:00,BCHUSDT,205.14,206.75,204.91,206.42,6586.835,1357160.601,1140
1580000000000.0,2020-01-01 11:00:00+00:00,BCHUSDT,206.42,208.95,205.29,205.94,15132.162,3134296.249,2263
1580000000000.0,2020-01-01 12:00:00+00:00,BCHUSDT,205.89,207.55,205.89,207.21,9396.688,1944602.97,1496
1580000000000.0,2020-01-01 13:00:00+00:00,BCHUSDT,207.2,207.64,206.71,207.1,6612.876,1370059.062,1202
1580000000000.0,2020-01-01 14:00:00+00:00,BCHUSDT,207.0,207.39,205.69,206.24,15519.483,3205517.757,2194
1580000000000.0,2020-01-01 15:00:00+00:00,BCHUSDT,206.24,207.5,205.45,205.99,13360.912,2755020.836,1853
1580000000000.0,2020-01-01 16:00:00+00:00,BCHUSDT,206.0,207.3,205.66,207.1,8196.846,1691307.345,1321
1580000000000.0,2020-01-01 17:00:00+00:00,BCHUSDT,207.11,207.2,206.06,206.46,10948.404,2261840.855,1485
1580000000000.0,2020-01-01 18:00:00+00:00,BCHUSDT,206.54,206.95,205.56,206.28,7677.659,1583224.519,1192
1580000000000.0,2020-01-01 19:00:00+00:00,BCHUSDT,206.28,206.28,205.3,205.37,7359.53,1513629.879,1203
1580000000000.0,2020-01-01 20:00:00+00:00,BCHUSDT,205.46,206.95,205.29,206.5,10982.997,2262907.774,1563
1580000000000.0,2020-01-01 21:00:00+00:00,BCHUSDT,206.49,206.49,205.31,205.65,12581.135,2589394.72,1877
1580000000000.0,2020-01-01 22:00:00+00:00,BCHUSDT,205.69,205.69,204.23,204.86,11304.899,2317109.18,1794
1580000000000.0,2020-01-01 23:00:00+00:00,BCHUSDT,204.86,204.96,202.95,204.44,12273.434,2503052.217,1840
1580000000000.0,2020-01-02 00:00:00+00:00,BCHUSDT,204.45,205.54,203.71,204.98,9997.612,2044994.369,1418
1580000000000.0,2020-01-02 01:00:00+00:00,BCHUSDT,204.98,205.03,204.41,204.48,12060.894,2468965.369,1275
1580000000000.0,2020-01-02 02:00:00+00:00,BCHUSDT,204.45,204.45,202.72,203.52,14196.815,2889688.064,2058
1580000000000.0,2020-01-02 03:00:00+00:00,BCHUSDT,203.55,203.55,200.67,201.13,15923.501,3218362.634,2272
1580000000000.0,2020-01-02 04:00:00+00:00,BCHUSDT,201.13,202.86,199.94,201.94,16405.622,3309617.809,2215
1580000000000.0,2020-01-02 05:00:00+00:00,BCHUSDT,201.94,202.72,201.41,202.35,9597.186,1939526.194,1436
1580000000000.0,2020-01-02 06:00:00+00:00,BCHUSDT,202.26,202.8,201.44,201.92,11470.956,2319579.803,1414
1580000000000.0,2020-01-02 07:00:00+00:00,BCHUSDT,201.92,202.28,200.52,201.67,14960.473,3015802.521,2255
1580000000000.0,2020-01-02 08:00:00+00:00,BCHUSDT,201.61,203.49,201.59,203.39,13554.491,2750662.995,2201
1580000000000.0,2020-01-02 09:00:00+00:00,BCHUSDT,203.32,203.5,202.6,203.36,12932.675,2625903.929,1866
1580000000000.0,2020-01-02 10:00:00+00:00,BCHUSDT,203.37,204.19,203.05,203.54,12680.556,2581992.999,2203
